Player Name,Team,League,POS,GP,MIN,Y,YR,R,A,SA,CR,ACR,CC,FS,P,AP,ACRO,BCC,DR,APW,TBOX,ECL
Marc Muniesa,GIR,LIGA,D,19,1403,6,0,0,0,0,17,7,6,20,617,765,7,0,11,0,10,40
Nikola Maksimovic,NAP,SERI,D,17,1374,4,0,0,0,0,0,0,4,17,793,854,0,0,4,0,5,52
Jaroslav Plasil,BDX,FRAN,M,22,1354,2,0,0,1,0,23,5,10,23,677,792,0,0,8,0,7,23
Patrick Burner,NIC,FRAN,D,17,1354,3,0,0,0,0,24,6,5,12,520,620,5,3,13,0,4,35
Ozan Kabak,SGT,BUND,D,15,1350,4,0,0,0,0,2,0,2,13,431,558,0,0,14,0,18,53
Ewerton,FCN,BUND,D,18,1342,2,0,0,0,0,0,0,2,2,506,602,0,0,10,0,12,106
Ruben Vezo,LEV,LIGA,D,15,1340,4,0,0,1,0,5,0,4,11,387,496,0,3,5,0,11,86
Inigo Cordoba,ATH,LIGA,F/M,23,1322,4,0,0,5,0,44,7,18,20,285,407,7,2,32,0,37,8
Raul Navas,RSO,LIGA,D,16,1311,4,0,0,0,0,4,2,6,13,748,864,2,0,4,0,9,60
Enrico Valentini,FCN,BUND,D,15,1302,2,0,0,2,0,106,27,24,12,360,530,7,0,9,0,4,48
Lukas Lerager,BDX,FRAN,M,18,1299,4,0,0,1,0,6,2,9,13,515,647,2,0,2,0,15,25
Kevin Mirallas,FIO,SERI,F/M,27,1298,2,0,0,1,0,61,18,27,25,279,363,10,1,14,0,53,6
Luiz Felipe,LAZ,SERI,D,17,1291,4,0,0,1,0,4,1,4,12,573,679,1,1,3,0,9,55
Recio,LGN,LIGA,M,18,1287,9,0,0,0,0,9,1,7,28,551,651,1,0,10,0,6,13
Fabio,NTE,FRAN,D,20,1281,4,0,1,2,0,35,12,15,19,368,481,12,1,8,0,9,25
Dan-Axel Zagadou,DOR,BUND,D,17,1266,4,0,0,0,0,0,0,2,4,915,1042,0,0,13,0,13,70
Phil Jones,MUN,EPL,D,18,1262,1,0,0,1,0,1,0,3,10,698,754,0,1,3,0,6,62
Michael Lang,BM,BUND,M/D,17,1261,0,0,0,0,0,32,5,4,7,547,654,5,1,2,0,23,37
Martin Hinteregger,EF,BUND,D,15,1234,4,0,0,0,0,3,1,3,10,437,601,1,0,5,0,13,52
Oscar Hiljemark,GEN,SERI,M,17,1201,0,0,0,0,0,34,6,12,10,385,470,3,0,8,0,20,13
Lukas Kubler,FBG,BUND,D,16,1187,2,0,0,2,0,25,6,7,21,290,416,6,3,6,0,10,44
Jerome Gondorf,FBG,BUND,M,26,1381,3,0,0,2,0,52,13,21,28,356,490,3,6,6,0,29,21
Federico Peluso,SAS,SERI,D,16,1356,5,0,0,0,0,4,2,0,15,686,810,2,0,5,0,2,64
Gonzalo Melero,HUE,LIGA,M,22,1346,3,0,0,1,0,3,0,22,17,617,716,0,2,12,1,35,21
Kenedy,NEW,EPL,F/M,25,1343,1,0,0,1,0,28,9,11,22,334,461,7,1,29,0,30,19
Riyad Mahrez,MCI,EPL,M,27,1337,0,0,0,4,2,73,16,24,15,675,798,10,9,25,0,97,2
Aaron Ramsey,ARS,EPL,M,28,1328,0,0,0,6,0,15,5,25,20,634,773,5,2,12,0,78,3
Gabriel Boschilia,NTE,FRAN,M,29,1319,1,0,0,4,0,63,16,26,24,390,482,3,1,14,0,35,5
Juan Jesus,ROM,SERI,D,19,1308,4,0,0,0,0,1,1,1,8,694,754,1,0,2,0,1,35
Ki Sung-yueng,NEW,EPL,M,18,1302,2,0,0,1,0,54,14,16,16,508,597,0,2,5,0,6,19
Pedro Pereira,GEN,SERI,D,25,1296,1,0,0,0,0,55,8,16,10,350,466,8,2,14,0,9,46
Ismael Tiemoko Diomande,CAE,FRAN,M,18,1293,4,1,1,1,0,4,2,4,18,487,591,2,1,8,0,1,36
Dayot Upamecano,RBL,BUND,D,15,1292,5,0,0,0,0,0,0,2,4,615,746,0,0,8,0,11,43
Vukasin Jovanovic,BDX,FRAN,D,15,1288,7,0,1,0,0,1,0,1,15,627,737,0,0,5,0,2,95
Emiliano Velazquez,RV,LIGA,D,18,1275,8,0,0,2,0,5,3,7,6,351,505,3,1,15,0,17,103
Romain Del Castillo,REN,FRAN,M,28,1260,1,0,0,3,1,58,14,24,21,342,457,11,4,36,0,46,7
Pawel Jaroszynski,CHV,SERI,D,18,1260,2,0,0,0,0,63,11,13,16,424,581,11,2,8,0,4,32
Daniele Rugani,JUV,SERI,D,14,1260,2,0,0,0,0,0,0,0,5,654,727,0,0,0,0,10,45
Antonio Luna,LEV,LIGA,D,16,1259,4,0,0,2,0,52,12,10,12,348,477,12,5,7,0,13,36
Samuel Kalu,BDX,FRAN,M,20,1256,3,0,1,2,0,96,26,27,36,323,452,8,5,45,1,63,3
Emil Forsberg,RBL,BUND,M,20,1252,0,0,0,7,1,49,14,39,24,390,478,1,6,21,0,41,6
Geoffrey Kondogbia,VAL,LIGA,M,19,1244,1,0,0,1,0,0,0,6,19,628,744,0,2,21,0,12,22
Ignazio Abate,MIL,SERI,M,18,1242,3,0,0,0,0,26,6,7,6,645,767,6,0,4,0,11,39
Nicolas Otamendi,MCI,EPL,D,18,1234,1,0,0,0,0,1,0,2,3,1152,1246,0,0,2,0,18,54
Wallace,LAZ,SERI,D,16,1234,3,0,0,0,1,6,1,3,10,611,721,1,1,3,0,9,53
Nordi Mukiele,RBL,BUND,D,19,1226,3,0,0,1,0,32,8,11,21,421,578,8,3,19,0,16,35
Dimitri Lienard,STR,FRAN,M,21,1220,1,0,0,2,1,91,20,14,15,570,685,6,1,16,0,10,18
James Edward Lea-Siliki,REN,FRAN,M,23,1218,2,0,0,3,0,57,9,18,25,282,374,6,7,12,0,35,7
Aaron Lennon,BUR,EPL,M,16,1215,1,0,0,1,0,23,3,7,16,219,278,3,0,7,0,22,12
Mehdi Zeffane,REN,FRAN,D,20,1213,4,0,0,0,0,28,4,12,5,514,622,4,2,4,0,9,34
Ivan Radovanovic,GEN,SERI,M,15,1192,2,0,0,0,0,6,2,5,16,528,652,1,0,6,0,3,19
Daniele De Rossi,ROM,SERI,M,17,1191,3,0,0,2,2,3,0,14,9,750,864,0,3,2,0,10,31
Jordan Ayew,CRY,EPL,F/M,20,1187,3,0,0,2,0,15,0,16,25,206,265,0,1,11,0,60,5
Jessy Deminguet,CAE,FRAN,M,19,1183,2,0,0,0,0,14,2,5,11,338,405,1,0,11,0,9,26
