Name,Nationality,Team,Tackles,Interceptions,Clearances,Errors lead to shot,Dribbled past,Blocked shots,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %,Total duels won,Total duels won %,Accurate passes,Inaccurate passes,Total passes,Accurate passes %,Accurate own half passes,Accurate opposition half passes,Key passes,Yellow cards,Red cards,Minutes played,Fouls,Was fouled
Pleguezuelo,Spain,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,
Jack Simpson,England,Bournemouth,9.0,9.0,22.0,2.0,3.0,4.0,10.0,59.0,14.0,58.0,24.0,59.0,194.0,42.0,236.0,82.0,142.0,52.0,0.0,0.0,0.0,408.0,1.0,3.0
Jon Gorenc Stankovic,Slovenia,Huddersfield,26.0,9.0,19.0,0.0,12.0,9.0,36.0,62.0,22.0,58.0,58.0,60.0,222.0,72.0,294.0,76.0,138.0,84.0,2.0,2.0,0.0,719.0,12.0,9.0
Ryan Inniss,England,Crystal Palace,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Ampadu,Wales,Chelsea,,,,,,,,,,,,,,,,,,,,,,,,
Eric García,Spain,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,
Sam Hughes,England,Leicester City,,,,,,,,,,,,,,,,,,,,,,,,
Alfie Jones,England,Southampton,,,,,,,,,,,,,,,,,,,,,,,,
Morgan Feeney,England,Everton,,,,,,,,,,,,,,,,,,,,,,,,
Japhet Tanganga,England,Spurs,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Humphreys-Grant,England,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Astley,Wales,Everton,,,,,,,,,,,,,,,,,,,,,,,,
Christoph Klarer,Austria,Southampton,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Eyoma,England,Spurs,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Dinzeyi,England,Spurs,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Phillips,England,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
Zech Medley,England,Arsenal,,,,,,,,,,,,,,,,,,,,,,,,
Leo Østigård,Norway,Brighton,,,,,,,,,,,,,,,,,,,,,,,,
Alexandru Pascanu,Romania,Leicester City,,,,,,,,,,,,,,,,,,,,,,,,
Conor Masterson,Republic of Ireland,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,
