Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,INT,BLK,TKLW,ACRO,BR,DR,DW
Gianluca Mancini,ATA,SERI,D,29,2249,25,4,8,5,0,0,48,4,30,2,140,11,137
Bouna Sarr,MAR,FRAN,M/D,29,2244,25,4,4,3,1,1,39,3,48,23,150,55,189
Naim Sliti,DIJ,FRAN,M,34,2243,25,9,13,2,0,0,12,0,32,4,120,77,208
Jemerson,MON,FRAN,D,25,2225,25,0,1,8,1,1,25,17,38,0,110,1,138
Robert Snodgrass,WHU,EPL,M,33,2221,25,8,10,10,0,0,11,4,27,9,133,33,151
Kevin Bonifazi,SPL,SERI,D,26,2212,25,1,3,1,0,0,34,20,25,2,160,22,120
Pedro Porro,GIR,LIGA,M/D,32,2212,25,7,9,4,0,0,39,2,31,25,179,30,135
Anthony Caci,STR,FRAN,M/D,28,2211,25,3,6,1,0,0,46,10,30,12,139,11,96
Tiemoue Bakayoko,MIL,SERI,M,30,2211,25,5,4,4,1,1,49,4,41,1,170,55,257
Kevin Stoger,DUS,BUND,M,26,2210,25,1,4,8,0,0,31,5,36,5,197,28,161
Manuel Akanji,DOR,BUND,D,25,2205,25,0,1,1,0,0,27,13,19,2,121,8,98
Robin Quaison,MAI,BUND,F/M,28,2204,25,3,11,1,0,0,7,1,12,4,65,22,85
Sokratis Papastathopoulos,ARS,EPL,D,25,2199,25,0,1,12,0,0,26,17,25,0,102,6,127
Philip Billing,HUD,EPL,M,27,2190,25,2,6,7,0,0,53,16,44,9,174,19,207
Jeffrey Gouweleeuw,AUG,BUND,D,26,2182,25,1,2,4,0,0,60,23,31,1,177,8,105
Vitorino Antunes,GET,LIGA,D,28,2182,25,3,4,5,0,0,43,7,26,23,151,22,104
Erick Pulgar,BGN,SERI,M,26,2182,25,1,6,6,0,1,43,5,33,4,187,12,142
Hamed Junior Traore,EMP,SERI,M,31,2176,25,6,13,4,0,0,28,3,37,2,151,38,138
Perparim Hetemaj,CHV,SERI,M,30,2160,25,5,10,9,0,0,30,1,26,11,143,19,159
Joseba Zaldua,RSO,LIGA,D,26,2141,25,1,4,7,0,0,38,3,27,20,90,18,167
Oriol Romeu,SOU,EPL,M,31,2139,25,6,10,11,0,0,52,17,46,1,185,17,162
Lucas Moura,TOT,EPL,F/M,32,2128,25,7,13,3,0,0,24,1,18,1,94,46,163
Bernard,EVE,EPL,M,34,2127,25,9,21,5,0,0,27,2,30,14,180,40,119
Kevin Kampl,RBL,BUND,M,27,2119,25,2,11,5,0,0,33,2,24,6,180,25,90
Abdoulaye Ba,RV,LIGA,D,26,2111,25,1,2,4,0,2,29,18,33,1,154,4,131
