Player Name,Team,League,POS,GP,MIN,BR
Douglas Luiz,GIR,LIGA,M,23,1487,136
Ryan Fraser,BOU,EPL,M,38,3171,135
Wilfried Zaha,CRY,EPL,F/M,34,3040,135
Paul Lasne,MTP,FRAN,M,35,1780,135
David Silva,MCI,EPL,M,33,2409,134
Jose Holebas,WAT,EPL,M/D,28,2394,134
Emanuele Giaccherini,CHV,SERI,F/M,26,2008,134
Matthieu Dossevi,TOU,FRAN,M,35,2481,133
Brais Mendez,CEL,LIGA,M,31,2351,133
Robert Snodgrass,WHU,EPL,M,33,2221,133
Pirmin Schwegler,HAN,BUND,M,27,2087,133
Nicola Rigoni,CHV,SERI,M,24,1958,133
Oscar Plano,REV,LIGA,M,33,2696,132
Esteban Granero,ESP,LIGA,M,28,2019,132
Mitchell Dijks,BGN,SERI,M/D,25,2023,132
Denis Zakaria,BM,BUND,M,31,1957,132
Francisco Portillo,GET,LIGA,M,32,1991,132
Mario Pasalic,ATA,SERI,M,33,1613,132
Leon Goretzka,MUN,BUND,M,30,2019,131
Robin Gosens,ATA,SERI,M/D,28,1946,131
Dan Gosling,BOU,EPL,M,25,1738,131
Daniel Wass,VAL,LIGA,M,32,2355,130
Christian Gentner,SGT,BUND,M,29,2023,130
Danny Latza,MAI,BUND,M,24,1879,130
Mehdi Bourabia,SAS,SERI,M,32,2008,130
Ole Selnaes,ETI,FRAN,M,20,1674,130
Suso,MIL,SERI,F/M,35,3030,129
Benjamin Bourigeaud,REN,FRAN,M,34,2435,129
Marko Grujic,HB,BUND,M,22,1780,129
Blerim Dzemaili,BGN,SERI,M,28,1748,129
Xeka,LIL,FRAN,M,27,2264,128
Antonin Bobichon,NIM,FRAN,M,30,2155,128
Harry Arter,CC,EPL,M,25,1991,128
Kiko,WAT,EPL,M/D,29,2046,128
Youri Tielemans,MON,FRAN,M,20,1684,128
Jose Luis Morales,LEV,LIGA,M,37,3197,127
Yannick Gerhardt,WOL,BUND,M,30,2462,127
Fabio Depaoli,CHV,SERI,M/D,33,2468,127
Alex Pritchard,HUD,EPL,M,30,2089,127
Leon Bailey,LEV,BUND,M,29,1920,127
Lucas Tousart,LYO,FRAN,M,30,1727,127
James Maddison,LEI,EPL,F/M,36,2848,126
Florian Thauvin,MAR,FRAN,M,33,2622,126
Darko Lazovic,GEN,SERI,M,33,2547,126
Sead Kolasinac,ARS,EPL,M/D,24,1890,126
Suat Serdar,SKE,BUND,M,27,1826,125
Nicolas Hofler,FBG,BUND,M,19,1706,125
Frederic Veseli,EMP,SERI,M/D,31,2537,124
Sofiane Boufal,CEL,LIGA,M,35,2097,124
Dele Alli,TOT,EPL,M,25,1833,124
Kevin Strootman,MAR,FRAN,M,28,1941,124
Henrikh Mkhitaryan,ARS,EPL,M,25,1644,124
Nuri Sahin,BRE,BUND,M,20,1486,124
Raul Garcia,ATH,LIGA,M,33,2379,123
Angel Correa,ATL,LIGA,M,36,1920,123
Mateo Kovacic,CHE,EPL,M,32,1744,122
Moussa Doumbia,REI,FRAN,M,28,1600,122
Mijat Gacinovic,EF,BUND,M,30,1674,122
Mohamed Salah,LIV,EPL,F/M,38,3256,121
Naim Sliti,DIJ,FRAN,M,35,2288,121
Jeff Hendrick,BUR,EPL,M,32,2070,121
Arturo Vidal,BAR,LIGA,M,33,1927,121
Oscar Trejo,RV,LIGA,M,26,1772,121
Jimmy Durmaz,TOU,FRAN,M,36,1902,121
Jordan Marie,DIJ,FRAN,M,26,1805,121
Koo Ja-Cheol,AUG,BUND,M,27,1708,121
Thomas Mangani,ANG,FRAN,M,29,1597,121
Eduard Lowen,FCN,BUND,M,22,1622,121
Juninho Bacuna,HUD,EPL,M,21,1415,121
Fabinho,LIV,EPL,M/D,28,2012,120
Emre Can,JUV,SERI,M/D,29,1807,120
Aleix Garcia,GIR,LIGA,M,31,1665,120
Anthony Knockaert,BHA,EPL,M,30,1833,120
Jonathan de Guzman,EF,BUND,M,28,1561,120
Jasmin Kurtic,SPL,SERI,M,30,2561,119
Prince Oniangue,CAE,FRAN,M,31,2343,119
Andrea Beghetto,FRO,SERI,M/D,27,2227,119
Pasquale Schiattarella,SPL,SERI,M,28,1843,119
Theo Valls,NIM,FRAN,M,31,1772,119
Vicente Iborra,VIL,LIGA,M,19,1667,119
Andre Zambo Anguissa,FUL,EPL,M,22,1519,119
Youssef Ait Bennasser,MON,FRAN,M,13,1074,119
Oscar de Marcos,ATH,LIGA,M/D,30,2426,118
Daniel Carrico,SEV,LIGA,M,24,2132,118
Mathieu Cafaro,REI,FRAN,M,34,2100,118
Genki Haraguchi,HAN,BUND,M,28,2128,118
Isaac Hayden,NEW,EPL,M,25,1864,118
Mario Lemina,SOU,EPL,M,21,1614,118
Adrien Silva,MON,FRAN,M,15,1183,118
Marco Benassi,FIO,SERI,M,32,2295,117
Marco Parolo,LAZ,SERI,M,34,2562,117
Luis Alberto,LAZ,SERI,F/M,27,2001,117
Johann Berg Gudmundsson,BUR,EPL,M,29,1749,117
Nicolas Benezet,GUI,FRAN,M,25,1666,117
Yves Bissouma,BHA,EPL,M,28,1768,116
Valentin Rosier,DIJ,FRAN,M,18,1458,116
Matteo Politano,INT,SERI,M,36,2566,115
David Brooks,BOU,EPL,M,30,2276,115
Andrea Poli,BGN,SERI,M,30,1946,115
Raheem Sterling,MCI,EPL,F/M,34,2776,114
David Junior Hoilett,CC,EPL,M,32,2142,114
Michail Antonio,WHU,EPL,M,33,2099,114
Sebastian Rudy,SKE,BUND,M,22,1432,114
Paolo Farago,CAG,SERI,M/D,26,1697,114
Jacopo Sala,SMP,SERI,M/D,21,1517,114
Ander Herrera,MUN,EPL,M,22,1404,114
Ibrahima Mbaye,BGN,SERI,M/D,23,2009,113
Cheikhou Kouyate,CRY,EPL,M/D,31,1897,113
Joseph Alfred Duncan,SAS,SERI,M,26,1848,113
Denis Cheryshev,VAL,LIGA,M,27,1709,113
Naby Keita,LIV,EPL,M,25,1394,113
Roberto Firmino,LIV,EPL,F/M,34,2617,112
Theo Walcott,EVE,EPL,F/M,37,2122,112
Quincy Promes,SEV,LIGA,M,33,1569,112
Adam Marusic,LAZ,SERI,M/D,26,2114,111
Matias Vecino,INT,SERI,M,30,2015,111
James Ward-Prowse,SOU,EPL,M,26,1942,111
Florian Neuhaus,BM,BUND,M,32,2070,110
Mitchell Weiser,LEV,BUND,M,31,2134,110
Simone Padoin,CAG,SERI,M/D,30,1913,110
